w	t	b_mse	bp_mse	bp_rs_mse	b_relerror	bp_relerror	bp_rs_relerror	b_bias	bp_bias	bp_rs_bias
1e-09	0.001	0.003328015326870711	0.0030011072840086233	0.0024784408395070517	0.043144734155935865	0.04149413931948999	0.0024784408395070517	-0.021790356331527906	-0.018342159088848575	-0.013510138097840525
1e-09	0.00316	0.0019862019739160033	0.001986232192648091	0.0019787038565419624	0.036270190123054984	0.03627012298433086	0.0019787038565419624	-0.0025823533352410015	-0.0025882312908821663	-0.002416759804252241
1e-09	0.01	0.0020083880205486165	0.0020083700965702654	0.0020085608617079753	0.036092292327414434	0.0360917819691573	0.0020085608617079753	0.0011789773312941925	0.0011743151093419782	0.0011742315186613133
1e-09	0.0316	0.0019129586398053415	0.0019128883441992457	0.0019131291039892067	0.03544389503719441	0.035442760010573615	0.0019131291039892067	0.0027034458054869003	0.00269465193267055	0.0026969818574763458
1e-09	0.1	0.002318697720976984	0.002318379193778799	0.002318484075164075	0.03919661156263274	0.03919252060661275	0.002318484075164075	0.005687584959414951	0.0056628791783750534	0.005663951832343592
3.16e-09	1e-06	0.1561867541774153	0.002023379349592445	0.0020233759057551536	0.2532239541501386	0.03621725718465844	0.0020233759057551536	-0.2476152646180859	-0.0005827305187154774	-0.0005825446074737166
3.16e-09	3.16e-06	0.1321306745396486	0.0021445145932799943	0.0021444683632475055	0.2324575411420473	0.03740809988592559	0.0021444683632475055	-0.2283157546511632	-0.0019183345757571703	-0.001916485571476553
3.16e-09	1e-05	0.10021873982929902	0.001930224597461099	0.0019301389954879907	0.20256803554593655	0.034659155323947734	0.0019301389954879907	-0.19868249451347914	-0.0009591929865397812	-0.0009409158045810555
3.16e-09	3.16e-05	0.06689855622469124	0.0019494796677587882	0.001949556232435649	0.16872839370515416	0.03509482160441518	0.001949556232435649	-0.16555477098352672	-0.0034159068222451537	-0.0032408312215888016
3.16e-09	0.0001	0.03720270922170566	0.0020487391966939957	0.002056508263162878	0.12957226515972553	0.03623527099014599	0.002056508263162878	-0.12346816631837805	-0.0017096903298096215	-0.00018575741411689306
3.16e-09	0.000316	0.019892982806004274	0.0028729061779762754	0.0021384772266941554	0.09713165345709644	0.04193789193411554	0.0021384772266941554	-0.08916204515662109	-0.01883011815473129	-0.009666956086772432
3.16e-09	0.001	0.006829236548429308	0.005114443745657023	0.002970067466959789	0.06212111488007869	0.054698309049630835	0.002970067466959789	-0.04688382755437437	-0.036924673817008084	-0.023039865515607987
3.16e-09	0.00316	0.0020838792242251734	0.0020843823245980803	0.002093113080845933	0.038613268969120616	0.0386177910370061	0.002093113080845933	-0.005001707922048452	-0.005019654860806683	-0.004537699119838746
3.16e-09	0.01	0.0017445499676854998	0.0017445650540638573	0.0017423900422226773	0.034819432023787046	0.03481925417765585	0.0017423900422226773	-0.0017085301292190432	-0.0017229176516905763	-0.0017234533581240656
3.16e-09	0.0316	0.002185498453557291	0.002185315739427572	0.002184556969608431	0.03913369117641379	0.03913062276388197	0.002184556969608431	0.002386225711794382	0.002358881054815905	0.0023659811797471183
